item_id,model,strategy,duration_ms,tp,fp,fn,ground_truth,predictions,prediction_source,mapped_rule_ids,schema_valid,parse_failed,empty_response,error,error_class,has_prediction,raw_output_excerpt
6018,gemma-3-12b-it,zero-shot,38806,0,0,1,4.1.2,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
6021,gemma-3-12b-it,zero-shot,3112,0,0,2,2.4.6|1.3.1,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
6016,gemma-3-12b-it,zero-shot,3145,0,0,1,3.3.2,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
6008,gemma-3-12b-it,zero-shot,6430,1,0,1,2.4.4|4.1.2,2.4.4,json,,True,False,False,,ok,True,"```json
{""violations"": [
  {""wcagCode"": ""2.4.4"", ""violationName"": ""Link Purpose (In Context)"", ""category"": ""semantic"",
   ""html"": ""<area shape=\""rect\"" coords=\""115,158,276,192\"" href=\""http://en.wikipedia.org/wiki/Mercury_%28planet%29\"""", ""target"": ""area"",
   ""description"": ""Area element lacks alternate text."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""2.4.4"", ""violationName"": ""Link Purpose (In Context)"", ""category"": ""semantic"",
   ""html"": ""<area shape=\""rect\"" coords=\""115,193,276,234\"" href=\""http://en.wikipedia.org/wiki/Venus\"""", ""target"": ""area"",
   ""description"": ""Area "
6019,gemma-3-12b-it,zero-shot,3293,0,0,1,4.1.2,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
6020,gemma-3-12b-it,zero-shot,3217,0,0,1,2.5.5,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
6017,gemma-3-12b-it,zero-shot,3229,0,0,1,4.1.2,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
6022,gemma-3-12b-it,zero-shot,3280,0,0,1,1.1.1,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
706_0,gemma-3-12b-it,zero-shot,2978,0,0,10,1.4.6|2.1.1|2.4.9|2.4.4|4.1.1|4.1.2|2.4.3|2.4.6|1.3.1|1.4.3,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
708_0,gemma-3-12b-it,zero-shot,3941,1,0,9,1.4.6|2.1.1|2.4.9|2.4.4|4.1.1|4.1.2|2.4.3|2.4.6|1.3.1|1.4.3,1.3.1,json,,True,False,False,,ok,True,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}
```"
