item_id,model,strategy,duration_ms,tp,fp,fn,precision,recall,f1_score,ground_truth,predictions,raw_output,error,schema_valid,parse_failed,empty_response,prediction_source,mapped_rule_ids
6018,deepseek-r1-distill-llama-70b,zero-shot,336,0,0,0,0.0,0.0,0.0,4.1.2,,,max_input_tokens_exceeded:48901>36000,False,False,False,skipped_input_too_large,
6021,deepseek-r1-distill-llama-70b,zero-shot,63,0,0,0,0.0,0.0,0.0,2.4.6|1.3.1,,,max_input_tokens_exceeded:49039>36000,False,False,False,skipped_input_too_large,
6016,deepseek-r1-distill-llama-70b,zero-shot,43,0,0,0,0.0,0.0,0.0,3.3.2,,,max_input_tokens_exceeded:50514>36000,False,False,False,skipped_input_too_large,
6008,deepseek-r1-distill-llama-70b,zero-shot,63,0,0,0,0.0,0.0,0.0,2.4.4|4.1.2,,,max_input_tokens_exceeded:50304>36000,False,False,False,skipped_input_too_large,
6019,deepseek-r1-distill-llama-70b,zero-shot,57,0,0,0,0.0,0.0,0.0,4.1.2,,,max_input_tokens_exceeded:50295>36000,False,False,False,skipped_input_too_large,
6020,deepseek-r1-distill-llama-70b,zero-shot,47,0,0,0,0.0,0.0,0.0,2.5.5,,,max_input_tokens_exceeded:49691>36000,False,False,False,skipped_input_too_large,
6017,deepseek-r1-distill-llama-70b,zero-shot,53,0,0,0,0.0,0.0,0.0,4.1.2,,,max_input_tokens_exceeded:49957>36000,False,False,False,skipped_input_too_large,
6022,deepseek-r1-distill-llama-70b,zero-shot,54,0,0,0,0.0,0.0,0.0,1.1.1,,,max_input_tokens_exceeded:49858>36000,False,False,False,skipped_input_too_large,
706_0,deepseek-r1-distill-llama-70b,zero-shot,33,0,0,0,0.0,0.0,0.0,4.1.2|2.4.9|1.4.6|2.4.4|2.1.1|2.4.3|1.4.3|2.4.6|4.1.1|1.3.1,,,max_input_tokens_exceeded:51849>36000,False,False,False,skipped_input_too_large,
708_0,deepseek-r1-distill-llama-70b,zero-shot,33,0,0,0,0.0,0.0,0.0,4.1.2|2.4.9|1.4.6|2.4.4|2.1.1|2.4.3|1.4.3|2.4.6|4.1.1|1.3.1,,,max_input_tokens_exceeded:51284>36000,False,False,False,skipped_input_too_large,
709_0,deepseek-r1-distill-llama-70b,zero-shot,31,0,0,0,0.0,0.0,0.0,4.1.2|2.4.9|1.4.6|2.4.4|2.1.1|2.4.3|1.4.3|2.4.6|4.1.1|1.3.1,,,max_input_tokens_exceeded:51323>36000,False,False,False,skipped_input_too_large,
716_0,deepseek-r1-distill-llama-70b,zero-shot,29,0,0,0,0.0,0.0,0.0,4.1.2|2.4.9|1.4.6|2.4.4|2.1.1|2.4.3|1.4.3|2.4.6|4.1.1|1.3.1,,,max_input_tokens_exceeded:51222>36000,False,False,False,skipped_input_too_large,
710_0,deepseek-r1-distill-llama-70b,zero-shot,39,0,0,0,0.0,0.0,0.0,4.1.2|2.4.9|1.4.6|2.4.4|2.1.1|2.4.3|1.4.3|2.4.6|4.1.1|1.3.1,,,max_input_tokens_exceeded:51288>36000,False,False,False,skipped_input_too_large,
711_0,deepseek-r1-distill-llama-70b,zero-shot,39,0,0,0,0.0,0.0,0.0,4.1.2|2.4.9|1.4.6|2.4.4|2.1.1|2.4.3|1.4.3|2.4.6|4.1.1|1.3.1,,,max_input_tokens_exceeded:51324>36000,False,False,False,skipped_input_too_large,
707_0,deepseek-r1-distill-llama-70b,zero-shot,30,0,0,0,0.0,0.0,0.0,4.1.2|2.4.9|1.4.6|2.4.4|2.1.1|2.4.3|1.4.3|2.4.6|4.1.1|1.3.1,,,max_input_tokens_exceeded:51201>36000,False,False,False,skipped_input_too_large,
713_0,deepseek-r1-distill-llama-70b,zero-shot,29,0,0,0,0.0,0.0,0.0,4.1.2|2.4.9|1.4.6|2.4.4|2.1.1|2.4.3|1.4.3|2.4.6|4.1.1|1.3.1,,,max_input_tokens_exceeded:51281>36000,False,False,False,skipped_input_too_large,
714_0,deepseek-r1-distill-llama-70b,zero-shot,31,0,0,0,0.0,0.0,0.0,4.1.2|2.4.9|1.4.6|2.4.4|2.1.1|2.4.3|1.4.3|2.4.6|4.1.1|1.3.1,,,max_input_tokens_exceeded:51313>36000,False,False,False,skipped_input_too_large,
715_0,deepseek-r1-distill-llama-70b,zero-shot,36,0,0,0,0.0,0.0,0.0,4.1.2|2.4.9|1.4.6|2.4.4|2.1.1|2.4.3|1.4.3|2.4.6|4.1.1|1.3.1,,,max_input_tokens_exceeded:51328>36000,False,False,False,skipped_input_too_large,
712_0,deepseek-r1-distill-llama-70b,zero-shot,31,0,0,0,0.0,0.0,0.0,4.1.2|2.4.9|1.4.6|2.4.4|2.1.1|2.4.3|1.4.3|2.4.6|4.1.1|1.3.1,,,max_input_tokens_exceeded:51212>36000,False,False,False,skipped_input_too_large,
3871549955_0,deepseek-r1-distill-llama-70b,zero-shot,36,0,0,0,0.0,0.0,0.0,1.4.6|4.1.1,,,max_input_tokens_exceeded:49940>36000,False,False,False,skipped_input_too_large,
