item_id,model,strategy,duration_ms,tp,fp,fn,precision,recall,f1_score,ground_truth,predictions,raw_output,error
700_0,qwen2.5vl,zero-shot,12186,0,4,1,0.0,0.0,0.0,1.4.6,1.4.13|1.4.10|2.4.7|3.2.4,"Here is the accessibility audit report in JSON format:

```json
{
  ""violations"": [
    {
      ""wcagCode"": ""1.4.10"",
      ""violationName"": ""Reflow"",
      ""category"": ""layout"",
      ""html"": ""<meta name=\""viewport\"" content=\""width=device-width, initial-scale=1.0\"">"",
      ""target"": null,
      ""description"": ""The page does not reflow when zoomed to 200% on mobile devices."",
      ""impact"": ""serious"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""2.4.7"",
      ""violationName"": ""Focus Visible"",
      ""category"": ""semantic"",
      ""html"": ""<a href=\""#skip-to-h1\"" class=\""usa-skipnav usa-sr-only focusable\""> Skip to main content</a>"",
      ""target"": ""#skip-to-h1"",
      ""description"": ""The skip navigation link is not visibly focused when navigated to using keyboard."",
      ""impact"": ""moderate"",
      ""confidence"": 0.9
    },
    {
      ""wcagCode"": ""3.2.4"",
      ""violationName"": ""On Focus"",
      ""category"": ""semantic"",
      ""html"": ""<input id=\""search-field-small-mobile-menu\"" class=\""usa-input text ui-autocomplete-input\"" type=\""search\"" name=\""query\"" placeholder=\""Search all government\"" onfocus=\""this.placeholder\"">"",
      ""target"": ""#search-field-small-mobile-menu"",
      ""description"": ""The search input field's placeholder disappears when focused, which can be confusing for screen reader users."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""1.4.13"",
      ""violationName"": ""Content on Hover or Focus"",
      ""category"": ""semantic"",
      ""html"": ""<div class=\""usa-banner__content usa-accordion__content\"" id=\""gov-banner-default\"" hidden=\""\"">...</div>"",
      ""target"": ""#gov-banner-default"",
      ""description"": ""The banner content is not accessible when hovered over or focused on."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    }
  ]
}
```",
700_0,qwen2.5vl,few-shot,7545,0,4,1,0.0,0.0,0.0,1.4.6,1.4.13|1.4.10|2.4.7|3.2.4,"Here is the accessibility audit report in JSON format:

```json
{
  ""violations"": [
    {
      ""wcagCode"": ""1.4.10"",
      ""violationName"": ""Reflow"",
      ""category"": ""layout"",
      ""html"": ""<meta name=\""viewport\"" content=\""width=device-width, initial-scale=1.0\"">"",
      ""target"": null,
      ""description"": ""The page does not reflow when zoomed to 200% on mobile devices."",
      ""impact"": ""serious"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""2.4.7"",
      ""violationName"": ""Focus Visible"",
      ""category"": ""semantic"",
      ""html"": ""<a href=\""#skip-to-h1\"" class=\""usa-skipnav usa-sr-only focusable\""> Skip to main content</a>"",
      ""target"": ""#skip-to-h1"",
      ""description"": ""The skip navigation link is not visibly focused when navigated to using keyboard."",
      ""impact"": ""moderate"",
      ""confidence"": 0.9
    },
    {
      ""wcagCode"": ""3.2.4"",
      ""violationName"": ""On Focus"",
      ""category"": ""semantic"",
      ""html"": ""<input id=\""search-field-small-mobile-menu\"" class=\""usa-input text ui-autocomplete-input\"" type=\""search\"" name=\""query\"" placeholder=\""Search all government\"" onfocus=\""this.placeholder\"">"",
      ""target"": ""#search-field-small-mobile-menu"",
      ""description"": ""The search input field's placeholder disappears when focused, which can be confusing for screen reader users."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""1.4.13"",
      ""violationName"": ""Content on Hover or Focus"",
      ""category"": ""semantic"",
      ""html"": ""<div class=\""usa-banner__content usa-accordion__content\"" id=\""gov-banner-default\"" hidden=\""\"">...</div>"",
      ""target"": ""#gov-banner-default"",
      ""description"": ""The banner content is not accessible when hovered over or focused on."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    }
  ]
}
```",
700_0,qwen2.5vl,chain-of-thought,7553,0,4,1,0.0,0.0,0.0,1.4.6,1.4.13|1.4.10|2.4.7|3.2.4,"Here is the accessibility audit report in JSON format:

```json
{
  ""violations"": [
    {
      ""wcagCode"": ""1.4.10"",
      ""violationName"": ""Reflow"",
      ""category"": ""layout"",
      ""html"": ""<meta name=\""viewport\"" content=\""width=device-width, initial-scale=1.0\"">"",
      ""target"": null,
      ""description"": ""The page does not reflow when zoomed to 200% on mobile devices."",
      ""impact"": ""serious"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""2.4.7"",
      ""violationName"": ""Focus Visible"",
      ""category"": ""semantic"",
      ""html"": ""<a href=\""#skip-to-h1\"" class=\""usa-skipnav usa-sr-only focusable\""> Skip to main content</a>"",
      ""target"": ""#skip-to-h1"",
      ""description"": ""The skip navigation link is not visibly focused when navigated to using keyboard."",
      ""impact"": ""moderate"",
      ""confidence"": 0.9
    },
    {
      ""wcagCode"": ""3.2.4"",
      ""violationName"": ""On Focus"",
      ""category"": ""semantic"",
      ""html"": ""<input id=\""search-field-small-mobile-menu\"" class=\""usa-input text ui-autocomplete-input\"" type=\""search\"" name=\""query\"" placeholder=\""Search all government\"" onfocus=\""this.placeholder\"">"",
      ""target"": ""#search-field-small-mobile-menu"",
      ""description"": ""The search input field's placeholder disappears when focused, which can be confusing for screen reader users."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""1.4.13"",
      ""violationName"": ""Content on Hover or Focus"",
      ""category"": ""semantic"",
      ""html"": ""<div class=\""usa-banner__content usa-accordion__content\"" id=\""gov-banner-default\"" hidden=\""\"">...</div>"",
      ""target"": ""#gov-banner-default"",
      ""description"": ""The banner content is not accessible when hovered over or focused on."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    }
  ]
}
```",
700_1,qwen2.5vl,zero-shot,7535,0,4,1,0.0,0.0,0.0,1.3.1,1.4.13|1.4.10|2.4.7|3.2.4,"Here is the accessibility audit report in JSON format:

```json
{
  ""violations"": [
    {
      ""wcagCode"": ""1.4.10"",
      ""violationName"": ""Reflow"",
      ""category"": ""layout"",
      ""html"": ""<meta name=\""viewport\"" content=\""width=device-width, initial-scale=1.0\"">"",
      ""target"": null,
      ""description"": ""The page does not reflow when zoomed to 200% on mobile devices."",
      ""impact"": ""serious"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""2.4.7"",
      ""violationName"": ""Focus Visible"",
      ""category"": ""semantic"",
      ""html"": ""<a href=\""#skip-to-h1\"" class=\""usa-skipnav usa-sr-only focusable\""> Skip to main content</a>"",
      ""target"": ""#skip-to-h1"",
      ""description"": ""The skip navigation link is not visibly focused when navigated to using keyboard."",
      ""impact"": ""moderate"",
      ""confidence"": 0.9
    },
    {
      ""wcagCode"": ""3.2.4"",
      ""violationName"": ""On Focus"",
      ""category"": ""semantic"",
      ""html"": ""<input id=\""search-field-small-mobile-menu\"" class=\""usa-input text ui-autocomplete-input\"" type=\""search\"" name=\""query\"" placeholder=\""Search all government\"" onfocus=\""this.placeholder\"">"",
      ""target"": ""#search-field-small-mobile-menu"",
      ""description"": ""The search input field's placeholder disappears when focused, which can be confusing for screen reader users."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""1.4.13"",
      ""violationName"": ""Content on Hover or Focus"",
      ""category"": ""semantic"",
      ""html"": ""<div class=\""usa-banner__content usa-accordion__content\"" id=\""gov-banner-default\"" hidden=\""\"">...</div>"",
      ""target"": ""#gov-banner-default"",
      ""description"": ""The banner content is not accessible when hovered over or focused on."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    }
  ]
}
```",
700_1,qwen2.5vl,few-shot,7540,0,4,1,0.0,0.0,0.0,1.3.1,1.4.13|1.4.10|2.4.7|3.2.4,"Here is the accessibility audit report in JSON format:

```json
{
  ""violations"": [
    {
      ""wcagCode"": ""1.4.10"",
      ""violationName"": ""Reflow"",
      ""category"": ""layout"",
      ""html"": ""<meta name=\""viewport\"" content=\""width=device-width, initial-scale=1.0\"">"",
      ""target"": null,
      ""description"": ""The page does not reflow when zoomed to 200% on mobile devices."",
      ""impact"": ""serious"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""2.4.7"",
      ""violationName"": ""Focus Visible"",
      ""category"": ""semantic"",
      ""html"": ""<a href=\""#skip-to-h1\"" class=\""usa-skipnav usa-sr-only focusable\""> Skip to main content</a>"",
      ""target"": ""#skip-to-h1"",
      ""description"": ""The skip navigation link is not visibly focused when navigated to using keyboard."",
      ""impact"": ""moderate"",
      ""confidence"": 0.9
    },
    {
      ""wcagCode"": ""3.2.4"",
      ""violationName"": ""On Focus"",
      ""category"": ""semantic"",
      ""html"": ""<input id=\""search-field-small-mobile-menu\"" class=\""usa-input text ui-autocomplete-input\"" type=\""search\"" name=\""query\"" placeholder=\""Search all government\"" onfocus=\""this.placeholder\"">"",
      ""target"": ""#search-field-small-mobile-menu"",
      ""description"": ""The search input field's placeholder disappears when focused, which can be confusing for screen reader users."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""1.4.13"",
      ""violationName"": ""Content on Hover or Focus"",
      ""category"": ""semantic"",
      ""html"": ""<div class=\""usa-banner__content usa-accordion__content\"" id=\""gov-banner-default\"" hidden=\""\"">...</div>"",
      ""target"": ""#gov-banner-default"",
      ""description"": ""The banner content is not accessible when hovered over or focused on."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    }
  ]
}
```",
700_1,qwen2.5vl,chain-of-thought,7539,0,4,1,0.0,0.0,0.0,1.3.1,1.4.13|1.4.10|2.4.7|3.2.4,"Here is the accessibility audit report in JSON format:

```json
{
  ""violations"": [
    {
      ""wcagCode"": ""1.4.10"",
      ""violationName"": ""Reflow"",
      ""category"": ""layout"",
      ""html"": ""<meta name=\""viewport\"" content=\""width=device-width, initial-scale=1.0\"">"",
      ""target"": null,
      ""description"": ""The page does not reflow when zoomed to 200% on mobile devices."",
      ""impact"": ""serious"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""2.4.7"",
      ""violationName"": ""Focus Visible"",
      ""category"": ""semantic"",
      ""html"": ""<a href=\""#skip-to-h1\"" class=\""usa-skipnav usa-sr-only focusable\""> Skip to main content</a>"",
      ""target"": ""#skip-to-h1"",
      ""description"": ""The skip navigation link is not visibly focused when navigated to using keyboard."",
      ""impact"": ""moderate"",
      ""confidence"": 0.9
    },
    {
      ""wcagCode"": ""3.2.4"",
      ""violationName"": ""On Focus"",
      ""category"": ""semantic"",
      ""html"": ""<input id=\""search-field-small-mobile-menu\"" class=\""usa-input text ui-autocomplete-input\"" type=\""search\"" name=\""query\"" placeholder=\""Search all government\"" onfocus=\""this.placeholder\"">"",
      ""target"": ""#search-field-small-mobile-menu"",
      ""description"": ""The search input field's placeholder disappears when focused, which can be confusing for screen reader users."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""1.4.13"",
      ""violationName"": ""Content on Hover or Focus"",
      ""category"": ""semantic"",
      ""html"": ""<div class=\""usa-banner__content usa-accordion__content\"" id=\""gov-banner-default\"" hidden=\""\"">...</div>"",
      ""target"": ""#gov-banner-default"",
      ""description"": ""The banner content is not accessible when hovered over or focused on."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    }
  ]
}
```",
700_2,qwen2.5vl,zero-shot,7577,0,4,1,0.0,0.0,0.0,1.3.1,1.4.13|1.4.10|2.4.7|3.2.4,"Here is the accessibility audit report in JSON format:

```json
{
  ""violations"": [
    {
      ""wcagCode"": ""1.4.10"",
      ""violationName"": ""Reflow"",
      ""category"": ""layout"",
      ""html"": ""<meta name=\""viewport\"" content=\""width=device-width, initial-scale=1.0\"">"",
      ""target"": null,
      ""description"": ""The page does not reflow when zoomed to 200% on mobile devices."",
      ""impact"": ""serious"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""2.4.7"",
      ""violationName"": ""Focus Visible"",
      ""category"": ""semantic"",
      ""html"": ""<a href=\""#skip-to-h1\"" class=\""usa-skipnav usa-sr-only focusable\""> Skip to main content</a>"",
      ""target"": ""#skip-to-h1"",
      ""description"": ""The skip navigation link is not visibly focused when navigated to using keyboard."",
      ""impact"": ""moderate"",
      ""confidence"": 0.9
    },
    {
      ""wcagCode"": ""3.2.4"",
      ""violationName"": ""On Focus"",
      ""category"": ""semantic"",
      ""html"": ""<input id=\""search-field-small-mobile-menu\"" class=\""usa-input text ui-autocomplete-input\"" type=\""search\"" name=\""query\"" placeholder=\""Search all government\"" onfocus=\""this.placeholder\"">"",
      ""target"": ""#search-field-small-mobile-menu"",
      ""description"": ""The search input field's placeholder disappears when focused, which can be confusing for screen reader users."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""1.4.13"",
      ""violationName"": ""Content on Hover or Focus"",
      ""category"": ""semantic"",
      ""html"": ""<div class=\""usa-banner__content usa-accordion__content\"" id=\""gov-banner-default\"" hidden=\""\"">...</div>"",
      ""target"": ""#gov-banner-default"",
      ""description"": ""The banner content is not accessible when hovered over or focused on."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    }
  ]
}
```",
700_2,qwen2.5vl,few-shot,7545,0,4,1,0.0,0.0,0.0,1.3.1,1.4.13|1.4.10|2.4.7|3.2.4,"Here is the accessibility audit report in JSON format:

```json
{
  ""violations"": [
    {
      ""wcagCode"": ""1.4.10"",
      ""violationName"": ""Reflow"",
      ""category"": ""layout"",
      ""html"": ""<meta name=\""viewport\"" content=\""width=device-width, initial-scale=1.0\"">"",
      ""target"": null,
      ""description"": ""The page does not reflow when zoomed to 200% on mobile devices."",
      ""impact"": ""serious"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""2.4.7"",
      ""violationName"": ""Focus Visible"",
      ""category"": ""semantic"",
      ""html"": ""<a href=\""#skip-to-h1\"" class=\""usa-skipnav usa-sr-only focusable\""> Skip to main content</a>"",
      ""target"": ""#skip-to-h1"",
      ""description"": ""The skip navigation link is not visibly focused when navigated to using keyboard."",
      ""impact"": ""moderate"",
      ""confidence"": 0.9
    },
    {
      ""wcagCode"": ""3.2.4"",
      ""violationName"": ""On Focus"",
      ""category"": ""semantic"",
      ""html"": ""<input id=\""search-field-small-mobile-menu\"" class=\""usa-input text ui-autocomplete-input\"" type=\""search\"" name=\""query\"" placeholder=\""Search all government\"" onfocus=\""this.placeholder\"">"",
      ""target"": ""#search-field-small-mobile-menu"",
      ""description"": ""The search input field's placeholder disappears when focused, which can be confusing for screen reader users."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""1.4.13"",
      ""violationName"": ""Content on Hover or Focus"",
      ""category"": ""semantic"",
      ""html"": ""<div class=\""usa-banner__content usa-accordion__content\"" id=\""gov-banner-default\"" hidden=\""\"">...</div>"",
      ""target"": ""#gov-banner-default"",
      ""description"": ""The banner content is not accessible when hovered over or focused on."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    }
  ]
}
```",
700_2,qwen2.5vl,chain-of-thought,7554,0,4,1,0.0,0.0,0.0,1.3.1,1.4.13|1.4.10|2.4.7|3.2.4,"Here is the accessibility audit report in JSON format:

```json
{
  ""violations"": [
    {
      ""wcagCode"": ""1.4.10"",
      ""violationName"": ""Reflow"",
      ""category"": ""layout"",
      ""html"": ""<meta name=\""viewport\"" content=\""width=device-width, initial-scale=1.0\"">"",
      ""target"": null,
      ""description"": ""The page does not reflow when zoomed to 200% on mobile devices."",
      ""impact"": ""serious"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""2.4.7"",
      ""violationName"": ""Focus Visible"",
      ""category"": ""semantic"",
      ""html"": ""<a href=\""#skip-to-h1\"" class=\""usa-skipnav usa-sr-only focusable\""> Skip to main content</a>"",
      ""target"": ""#skip-to-h1"",
      ""description"": ""The skip navigation link is not visibly focused when navigated to using keyboard."",
      ""impact"": ""moderate"",
      ""confidence"": 0.9
    },
    {
      ""wcagCode"": ""3.2.4"",
      ""violationName"": ""On Focus"",
      ""category"": ""semantic"",
      ""html"": ""<input id=\""search-field-small-mobile-menu\"" class=\""usa-input text ui-autocomplete-input\"" type=\""search\"" name=\""query\"" placeholder=\""Search all government\"" onfocus=\""this.placeholder\"">"",
      ""target"": ""#search-field-small-mobile-menu"",
      ""description"": ""The search input field's placeholder disappears when focused, which can be confusing for screen reader users."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""1.4.13"",
      ""violationName"": ""Content on Hover or Focus"",
      ""category"": ""semantic"",
      ""html"": ""<div class=\""usa-banner__content usa-accordion__content\"" id=\""gov-banner-default\"" hidden=\""\"">...</div>"",
      ""target"": ""#gov-banner-default"",
      ""description"": ""The banner content is not accessible when hovered over or focused on."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    }
  ]
}
```",
700_3,qwen2.5vl,zero-shot,7551,0,4,1,0.0,0.0,0.0,1.3.1,1.4.13|1.4.10|2.4.7|3.2.4,"Here is the accessibility audit report in JSON format:

```json
{
  ""violations"": [
    {
      ""wcagCode"": ""1.4.10"",
      ""violationName"": ""Reflow"",
      ""category"": ""layout"",
      ""html"": ""<meta name=\""viewport\"" content=\""width=device-width, initial-scale=1.0\"">"",
      ""target"": null,
      ""description"": ""The page does not reflow when zoomed to 200% on mobile devices."",
      ""impact"": ""serious"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""2.4.7"",
      ""violationName"": ""Focus Visible"",
      ""category"": ""semantic"",
      ""html"": ""<a href=\""#skip-to-h1\"" class=\""usa-skipnav usa-sr-only focusable\""> Skip to main content</a>"",
      ""target"": ""#skip-to-h1"",
      ""description"": ""The skip navigation link is not visibly focused when navigated to using keyboard."",
      ""impact"": ""moderate"",
      ""confidence"": 0.9
    },
    {
      ""wcagCode"": ""3.2.4"",
      ""violationName"": ""On Focus"",
      ""category"": ""semantic"",
      ""html"": ""<input id=\""search-field-small-mobile-menu\"" class=\""usa-input text ui-autocomplete-input\"" type=\""search\"" name=\""query\"" placeholder=\""Search all government\"" onfocus=\""this.placeholder\"">"",
      ""target"": ""#search-field-small-mobile-menu"",
      ""description"": ""The search input field's placeholder disappears when focused, which can be confusing for screen reader users."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    },
    {
      ""wcagCode"": ""1.4.13"",
      ""violationName"": ""Content on Hover or Focus"",
      ""category"": ""semantic"",
      ""html"": ""<div class=\""usa-banner__content usa-accordion__content\"" id=\""gov-banner-default\"" hidden=\""\"">...</div>"",
      ""target"": ""#gov-banner-default"",
      ""description"": ""The banner content is not accessible when hovered over or focused on."",
      ""impact"": ""moderate"",
      ""confidence"": 0.8
    }
  ]
}
```",
