item_id,model,strategy,duration_ms,tp,fp,fn,precision,recall,f1_score,ground_truth,predictions,raw_output,error,schema_valid,parse_failed,empty_response,prediction_source,mapped_rule_ids
6018,llama-4-scout-17b-16e-instruct,zero-shot,429655,0,0,0,0.0,0.0,0.0,4.1.2,,,"Error code: 400 - {'error': {'message': 'Failed to load model ""llama-4-scout-17b-16e-instruct"". Error: Operation canceled.', 'type': 'invalid_request_error', 'param': 'model', 'code': None}}",False,False,False,none,
6021,llama-4-scout-17b-16e-instruct,zero-shot,601937,0,0,0,0.0,0.0,0.0,2.4.6|1.3.1,,,"Error code: 400 - {'error': {'message': 'Failed to load model ""llama-4-scout-17b-16e-instruct"". Error: Operation canceled.', 'type': 'invalid_request_error', 'param': 'model', 'code': None}}",False,False,False,none,
6016,llama-4-scout-17b-16e-instruct,zero-shot,326082,0,0,0,0.0,0.0,0.0,3.3.2,,,"Error code: 400 - {'error': {'message': 'Failed to load model ""llama-4-scout-17b-16e-instruct"". Error: Operation canceled.', 'type': 'invalid_request_error', 'param': 'model', 'code': None}}",False,False,False,none,
6008,llama-4-scout-17b-16e-instruct,zero-shot,594455,0,0,2,0.0,0.0,0.0,2.4.4|4.1.2,,"{""violations"": []}",no_wcag_codes_extracted,True,False,False,json_no_codes,
6019,llama-4-scout-17b-16e-instruct,zero-shot,10853,0,0,1,0.0,0.0,0.0,4.1.2,,"{""violations"": []}",no_wcag_codes_extracted,True,False,False,json_no_codes,
6020,llama-4-scout-17b-16e-instruct,zero-shot,20313,0,2,1,0.0,0.0,0.0,2.5.5,1.3.1|3.2.4,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Semantic Meaning to Non-Semantic Elements"", ""category"": ""semantic"",
   ""html"": ""<span class=\""m-dot-group\"">...</span>"", ""target"": ""span"",
   ""description"": ""Non-semantic element <span> used with no semantic meaning."",
   ""impact"": ""minor"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Semantic Meaning to Non-Semantic Elements"", ""category"": ""semantic"",
   ""html"": ""<p class=\""empty-search\""></p>"", ""target"": ""p"",
   ""description"": ""Non-semantic element <p> used with no semantic meaning."",
   ""impact"": ""minor"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Semantic Meaning to Non-Semantic Elements"", ""category"": ""semantic"",
   ""html"": ""<div class=\""pull-right login\"">...</div>"", ""target"": ""div"",
   ""description"": ""Non-semantic element <div> used with no semantic meaning."",
   ""impact"": ""minor"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Semantic Meaning to Non-Semantic Elements"", ""category"": ""semantic"",
   ""html"": ""<span class=\""hs-cta-node hs-cta-343ea302-b25f-4161-bbd2-beb2b4244a1b\"" data-hs-drop=\""true\"" id=\""hs-cta-343ea302-b25f-4161-bbd2-beb2b4244a1b\"" style=\""visibility: visible;\"">...</span>"", ""target"": ""span"",
   ""description"": ""Non-semantic element <span> used with no semantic meaning."",
   ""impact"": ""minor"", ""confidence"": 0.9},
  {""wcagCode"": ""3.2.4"", ""violationName"": ""Status Messages Not Conveyed by Assistive Technologies"", ""category"": ""semantic"",
   ""html"": ""<div aria-live=\""assertive\"" class=\""visually-hidden\"" id=\""assertive\""></div>"", ""target"": ""div"",
   ""description"": ""Assistive technologies may not convey status messages."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""3.2.4"", ""violationName"": ""Status Messages Not Conveyed by Assistive Technologies"", ""category"": ""semantic"",
   ""html"": ""<div aria-live=\""polite\"" class=\""visually-hidden\"" id=\""polite\""></div>"", ""target"": ""div"",
   ""description"": ""Assistive technologies may not convey status messages."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}",,True,False,False,json,
6017,llama-4-scout-17b-16e-instruct,zero-shot,11788,0,1,1,0.0,0.0,0.0,4.1.2,1.3.1,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}",,True,False,False,json,
6022,llama-4-scout-17b-16e-instruct,zero-shot,11925,0,1,1,0.0,0.0,0.0,1.1.1,1.3.1,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}",,True,False,False,json,
706_0,llama-4-scout-17b-16e-instruct,zero-shot,17812,0,0,0,0.0,0.0,0.0,1.4.6|2.1.1|2.4.9|2.4.4|4.1.1|4.1.2|2.4.3|2.4.6|1.3.1|1.4.3,,,Error code: 400 - {'error': 'Model unloaded.'},False,False,False,none,
708_0,llama-4-scout-17b-16e-instruct,zero-shot,473507,1,0,9,1.0,0.1,0.1818,1.4.6|2.1.1|2.4.9|2.4.4|4.1.1|4.1.2|2.4.3|2.4.6|1.3.1|1.4.3,1.3.1,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Performance Cookies\"" class=\""fides-toggle-input\"" name=\""pri_c293c532-40d4-4012-9ec8-64c0d2e80e49\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Audience Measurement\"" class=\""fides-toggle-input\"" name=\""pri_5ce0b1a5-80c5-40d1-b8ad-751c667393e2\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Functional Cookies\"" class=\""fides-toggle-input\"" name=\""pri_29ebd463-72cc-403a-99bd-93ca1c4ea83a\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Essential\"" class=\""fides-toggle-input\"" disabled=\""\"" name=\""pri_c02deb9a-6197-4915-b376-bad31a62cdca\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Store and/or access information on a device\"" class=\""fides-toggle-input\"" name=\""1\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Use limited data to select advertising\"" class=\""fides-toggle-input\"" name=\""2\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Create profiles for personalised advertising\"" class=\""fides-toggle-input\"" name=\""3\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Use profiles to select personalised advertising\"" class=\""fides-toggle-input\"" name=\""4\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Create profiles to personalise content\"" class=\""fides-toggle-input\"" name=\""5\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Use profiles to select personalised content\"" class=\""fides-toggle-input\"" name=\""6\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Measure advertising performance\"" class=\""fides-toggle-input\"" name=\""7\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Measure content performance\"" class=\""fides-toggle-input\"" name=\""8\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}",,True,False,False,json,
