item_id,model,strategy,duration_ms,tp,fp,fn,ground_truth,predictions,prediction_source,mapped_rule_ids,schema_valid,parse_failed,empty_response,error,error_class,has_prediction,raw_output_excerpt
6018,llama-4-scout-17b-16e-instruct,zero-shot,429655,0,0,0,4.1.2,,none,,False,False,False,"Error code: 400 - {'error': {'message': 'Failed to load model ""llama-4-scout-17b-16e-instruct"". Error: Operation canceled.', 'type': 'invalid_request_error', 'param': 'model', 'code': None}}","Error code: 400 - {'error': {'message': 'Failed to load model ""llama-4-scout-17b-16e-instruct"". Error: Operation canceled.', 'type': 'invalid_request_error', 'param': 'model', 'code': None}}",False,
6021,llama-4-scout-17b-16e-instruct,zero-shot,601937,0,0,0,2.4.6|1.3.1,,none,,False,False,False,"Error code: 400 - {'error': {'message': 'Failed to load model ""llama-4-scout-17b-16e-instruct"". Error: Operation canceled.', 'type': 'invalid_request_error', 'param': 'model', 'code': None}}","Error code: 400 - {'error': {'message': 'Failed to load model ""llama-4-scout-17b-16e-instruct"". Error: Operation canceled.', 'type': 'invalid_request_error', 'param': 'model', 'code': None}}",False,
6016,llama-4-scout-17b-16e-instruct,zero-shot,326082,0,0,0,3.3.2,,none,,False,False,False,"Error code: 400 - {'error': {'message': 'Failed to load model ""llama-4-scout-17b-16e-instruct"". Error: Operation canceled.', 'type': 'invalid_request_error', 'param': 'model', 'code': None}}","Error code: 400 - {'error': {'message': 'Failed to load model ""llama-4-scout-17b-16e-instruct"". Error: Operation canceled.', 'type': 'invalid_request_error', 'param': 'model', 'code': None}}",False,
6008,llama-4-scout-17b-16e-instruct,zero-shot,594455,0,0,2,2.4.4|4.1.2,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"{""violations"": []}"
6019,llama-4-scout-17b-16e-instruct,zero-shot,10853,0,0,1,4.1.2,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"{""violations"": []}"
6020,llama-4-scout-17b-16e-instruct,zero-shot,20313,0,2,1,2.5.5,1.3.1|3.2.4,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Semantic Meaning to Non-Semantic Elements"", ""category"": ""semantic"",
   ""html"": ""<span class=\""m-dot-group\"">...</span>"", ""target"": ""span"",
   ""description"": ""Non-semantic element <span> used with no semantic meaning."",
   ""impact"": ""minor"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Semantic Meaning to Non-Semantic Elements"", ""category"": ""semantic"",
   ""html"": ""<p class=\""empty-search\""></p>"", ""target"": ""p"",
   ""description"": ""Non-semantic element <p> used with no semantic meaning."",
   ""impact"": ""minor"", ""confidence"
6017,llama-4-scout-17b-16e-instruct,zero-shot,11788,0,1,1,4.1.2,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}"
6022,llama-4-scout-17b-16e-instruct,zero-shot,11925,0,1,1,1.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}"
706_0,llama-4-scout-17b-16e-instruct,zero-shot,17812,0,0,0,1.4.6|2.1.1|2.4.9|2.4.4|4.1.1|4.1.2|2.4.3|2.4.6|1.3.1|1.4.3,,none,,False,False,False,Error code: 400 - {'error': 'Model unloaded.'},Error code: 400 - {'error': 'Model unloaded.'},False,
708_0,llama-4-scout-17b-16e-instruct,zero-shot,473507,1,0,9,1.4.6|2.1.1|2.4.9|2.4.4|4.1.1|4.1.2|2.4.3|2.4.6|1.3.1|1.4.3,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"",
   ""target"": ""input"",
   ""description"": ""Switch input has inconsistent aria-label and label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent labels for switch inputs."", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class="
