item_id,model,strategy,duration_ms,tp,fp,fn,ground_truth,predictions,prediction_source,mapped_rule_ids,schema_valid,parse_failed,empty_response,error,error_class,has_prediction,raw_output_excerpt
6018,deepseek-r1-distill-llama-70b,zero-shot,363894,1,1,0,4.1.2,1.4.1|4.1.2,json,,True,False,False,,ok,True,"

{""violations"": [
  {""wcagCode"": ""4.1.2"", ""violationName"": ""Invalid ARIA Role"", ""category"": ""semantic"",
   ""html"": ""<h2 id=\""cookie-alert-title\"" tabindex=\""-1\"">This website uses cookies</h2>"",
   ""target"": ""h2"",
   ""description"": ""The heading element has an invalid tabindex value."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""4.1.2"", ""violationName"": ""Missing ARIA Expanded State"",
   ""category"": ""layout"",
   ""html"": ""<button aria-controls=\""dqu-ui-component-1_itemList\"" class=\""component_DropDownMenu_button\"">...</button>"",
   ""target"": ""button"",
   ""description"": ""The dropd"
6021,deepseek-r1-distill-llama-70b,zero-shot,42484,1,1,1,1.3.1|2.4.6,1.3.1|4.1.2,json,,True,False,False,,ok,True,"

{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Inconsistent Button Context"", ""category"": ""semantic"",
   ""html"": ""<button class=\""cookie-alert-button\"" onclick=\""recordUserResponse(0, 1)\"">Decline</button>"",
   ""target"": ""button"",
   ""description"": ""The 'Decline' button lacks an aria-describedby attribute linking it to the cookie policy text."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""4.1.2"", ""violationName"": ""Missing ARIA Label for Image Link"",
   ""category"": ""semantic"",
   ""html"": ""<a class=\""logo\"" href=\""https://www.deque.com/?__hstc=213731083.9e381260eca657"
6016,deepseek-r1-distill-llama-70b,zero-shot,40982,1,0,0,3.3.2,3.3.2,json,,True,False,False,,ok,True,"

{""violations"": [
  {""wcagCode"": ""3.3.2"", ""violationName"": ""Multiple Form Labels"", ""category"": ""semantic"",
   ""html"": ""<label for=\""fail1\"">Hi</label><label for=\""fail1\"">Foo</label><input type=\""text\"" id=\""fail1\"" />"", ""target"": ""input"",
   ""description"": ""Form field has multiple labels."", ""impact"": ""moderate"", ""confidence"": 0.9},
  {""wcagCode"": ""3.3.2"", ""violationName"": ""Multiple Form Labels"", ""category"": ""semantic"",
   ""html"": ""<label for=\""fail2\"">label one</label><label for=\""fail2\"">label two</label><input type=\""checkbox\"" id=\""fail2\"" />"", ""target"": ""input"",
   ""description"": ""Form f"
6008,deepseek-r1-distill-llama-70b,zero-shot,34903,1,1,1,2.4.4|4.1.2,1.3.1|4.1.2,json,,True,False,False,,ok,True,"

{""violations"": [
  {
    ""wcagCode"": ""4.1.2"",
    ""violationName"": ""Missing ARIA Label"",
    ""category"": ""semantic"",
    ""html"": ""<button class=\""cookie-alert-button\"" onclick=\""recordUserResponse(0, 1)\"">Decline</button>"",
    ""target"": ""button"",
    ""description"": ""Button lacks an accessible name."",
    ""impact"": ""serious"",
    ""confidence"": 0.9
  },
  {
    ""wcagCode"": ""1.3.1"",
    ""violationName"": ""Missing ARIA Expanded State"",
    ""category"": ""layout"",
    ""html"": ""<button aria-controls=\""dqu-ui-component-1_itemList\"" aria-expanded=\""false\"" aria-haspopup=\""menu\"" class=\""component_Drop"
6019,deepseek-r1-distill-llama-70b,zero-shot,29260,1,0,0,4.1.2,4.1.2,json,,True,False,False,,ok,True,"

{""violations"": [
  {
    ""wcagCode"": ""4.1.2"",
    ""violationName"": ""Missing ARIA Label"",
    ""category"": ""semantic"",
    ""html"": ""<h2 id=\""cookie-alert-title\"" tabindex=\""0\"">This website uses cookies</h2>"",
    ""target"": ""h2"",
    ""description"": ""The element with aria-describedby should have an accessible name."",
    ""impact"": ""serious"",
    ""confidence"": 0.9
  },
  {
    ""wcagCode"": ""4.1.2"",
    ""violationName"": ""Missing ARIA Label"",
    ""category"": ""semantic"",
    ""html"": ""<ul class=\""component_DropDownMenu_itemList\"" id=\""dqu-ui-component-1_itemList-itemList\"" role=\""menu\"">"",
    ""targe"
6020,deepseek-r1-distill-llama-70b,zero-shot,39492,0,3,1,2.5.5,1.3.1|2.5.4|4.1.2,json,,True,False,False,,ok,True,"

{""violations"": [
  {
    ""wcagCode"": ""4.1.2"",
    ""violationName"": ""Redundant Tabindex"",
    ""category"": ""semantic"",
    ""html"": ""<h2 id=\""cookie-alert-title\"" tabindex=\""-1\"">This website uses cookies</h2>"",
    ""target"": ""h2"",
    ""description"": ""The heading element has a redundant tabindex attribute."",
    ""impact"": ""moderate"",
    ""confidence"": 0.8
  },
  {
    ""wcagCode"": ""4.1.2"",
    ""violationName"": ""Missing ARIA Label"",
    ""category"": ""semantic"",
    ""html"": ""<button aria-controls=\""dqu-ui-component-1_itemList\"" aria-expanded=\""false\"" aria-haspopup=\""menu\"" class=\""component_DropDo"
6017,deepseek-r1-distill-llama-70b,zero-shot,35415,1,3,0,4.1.2,1.3.1|1.4.11|2.1.1|4.1.2,json,,True,False,False,,ok,True,"

{""violations"": [
  {
    ""wcagCode"": ""2.1.1"",
    ""violationName"": ""Keyboard Navigation Issue"",
    ""category"": ""layout"",
    ""html"": ""<h2 id=\""cookie-alert-title\"" tabindex=\""-1\"">This website uses cookies</h2>"",
    ""target"": ""h2"",
    ""description"": ""The heading element has a negative tabindex value (-1), which removes it from the keyboard navigation sequence."",
    ""impact"": ""serious"",
    ""confidence"": 0.95
  },
  {
    ""wcagCode"": ""4.1.2"",
    ""violationName"": ""Missing ARIA Label"",
    ""category"": ""semantic"",
    ""html"": ""<button aria-controls=\""dqu-ui-component-1_itemList\"" aria-expan"
6022,deepseek-r1-distill-llama-70b,zero-shot,34799,0,2,1,1.1.1,1.3.1|4.1.2,json,,True,False,False,,ok,True,"

{""violations"": [
  {""wcagCode"": ""4.1.2"", ""violationName"": ""Invalid ARIA Role"", ""category"": ""semantic"",
   ""html"": ""<h2 id=\""cookie-alert-title\"" tabindex=\""-1\"">This website uses cookies</h2>"",
   ""target"": ""h2"",
   ""description"": ""The heading element has an invalid role applied via tabindex=\""-1\"", which removes it from the accessibility tree."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""4.1.2"", ""violationName"": ""Missing ARIA Expanded State"",
   ""category"": ""semantic"",
   ""html"": ""<button aria-controls=\""dqu-ui-component-1_itemList\"" aria-expanded=\""false\"" aria-haspopup=\"""
706_0,deepseek-r1-distill-llama-70b,zero-shot,73893,1,0,9,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,4.1.2,json,,True,False,False,,ok,True,"

{""violations"": [
  {""wcagCode"": ""4.1.2"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""4.1.2"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a\"
708_0,deepseek-r1-distill-llama-70b,zero-shot,32268,0,0,10,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"

{""violations"": []}"
