item_id,model,strategy,duration_ms,tp,fp,fn,precision,recall,f1_score,ground_truth,predictions,raw_output,error,schema_valid,parse_failed,empty_response,prediction_source,mapped_rule_ids
6018,gemma-3-27b-it,zero-shot,71451,0,1,1,0.0,0.0,0.0,4.1.2,1.3.1,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""treeitem\"" id=\""empty\""></div>"", ""target"": ""div"", ""description"": ""Tree item lacks an accessible name."", ""impact"": ""serious"", ""confidence"": 0.95},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""treeitem\"" id=\""alempty\"" aria-label=\""\""></div>"", ""target"": ""div"", ""description"": ""Tree item has an empty aria-label attribute, providing no accessible name."", ""impact"": ""serious"", ""confidence"": 0.95},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""treeitem\"" id=\""albmissing\"" aria-labelledby=\""nonexistent\""></div>"", ""target"": ""div"", ""description"": ""Tree item has an aria-labelledby attribute pointing to a non-existent element, providing no accessible name."", ""impact"": ""serious"", ""confidence"": 0.95},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""treeitem\"" id=\""albempty\"" aria-labelledby=\""emptydiv\""></div><div id=\""emptydiv\""></div>"", ""target"": ""div"", ""description"": ""Tree item has an aria-labelledby attribute pointing to an empty element, providing no accessible name."", ""impact"": ""serious"", ""confidence"": 0.95}
]}
```",,True,False,False,json,
6021,gemma-3-27b-it,zero-shot,6300,1,0,1,1.0,0.5,0.6667,1.3.1|2.4.6,1.3.1,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<th aria-label=\""Student Name\""></th>"", ""target"": ""th"", ""description"": ""Table header element lacks visible text content."", ""impact"": ""minor"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
6016,gemma-3-27b-it,zero-shot,6369,1,0,0,1.0,1.0,1.0,3.3.2,3.3.2,"```json
{""violations"": [
  {""wcagCode"": ""3.3.2"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
6008,gemma-3-27b-it,zero-shot,7321,0,1,2,0.0,0.0,0.0,2.4.4|4.1.2,1.1.1,"```json
{""violations"": [
  {""wcagCode"": ""1.1.1"", ""violationName"": ""Non-text Content"", ""category"": ""semantic"", ""html"": ""<img alt=\""Deque University logo\"" src=\""assets/images/logos/Deque_DequeU_Logo_White.png\"" style=\""height: 50px; margin-top: -5px;\""/>"", ""target"": ""img"", ""description"": ""Image lacks alternative text."", ""impact"": ""serious"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
6019,gemma-3-27b-it,zero-shot,7004,1,0,0,1.0,1.0,1.0,4.1.2,4.1.2,"```json
{""violations"": [
  {""wcagCode"": ""4.1.2"", ""violationName"": ""Missing Label or Role Value"", ""category"": ""semantic"", ""html"": ""<img alt=\""\"" src=\""images/stars.jpg\"">"", ""target"": ""img"", ""description"": ""Image element is missing an accessible name (e.g., alt text).  This impacts users of assistive technology."", ""impact"": ""serious"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
6020,gemma-3-27b-it,zero-shot,9514,0,1,1,0.0,0.0,0.0,2.5.5,2.5.8,"```json
{""violations"": [
  {""wcagCode"": ""2.5.8"", ""violationName"": ""Target Size"", ""category"": ""semantic"", ""html"": ""<button aria-describedby=\""cookie-alert-text\"" class=\""cookie-alert-button\"" id=\""cookie-alert-accept\"" onclick=\""recordUserResponse(1, 1)\"">\n            Accept        </button>"", ""target"": ""button#cookie-alert-accept"", ""description"": ""Touch target is too small."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""2.5.8"", ""violationName"": ""Target Size"", ""category"": ""semantic"", ""html"": ""<button class=\""cookie-alert-button\"" onclick=\""recordUserResponse(0, 1)\"">\n            Decline        </button>"", ""target"": ""button[onclick='recordUserResponse(0, 1)']"", ""description"": ""Touch target is too small."", ""impact"": ""serious"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
6017,gemma-3-27b-it,zero-shot,9116,0,1,1,0.0,0.0,0.0,4.1.2,1.3.1,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<button aria-describedby=\""cookie-alert-text\"" class=\""cookie-alert-button\"" id=\""cookie-alert-accept\"" onclick=\""recordUserResponse(1, 1)\"">Accept</button>"", ""target"": ""button"", ""description"": ""Button lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<button class=\""cookie-alert-button\"" onclick=\""recordUserResponse(0, 1)\"">Decline</button>"", ""target"": ""button"", ""description"": ""Button lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
6022,gemma-3-27b-it,zero-shot,13314,0,1,1,0.0,0.0,0.0,1.1.1,1.3.1,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""meter\"" id=\""empty\""></div>"", ""target"": ""div"", ""description"": ""Aria meter element does not have an accessible name (label, aria-labelledby or aria-describedby)."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""meter\"" id=\""alempty\"" aria-label=\""\""></div>"", ""target"": ""div"", ""description"": ""Aria meter element has an empty aria-label attribute, which does not provide a discernible name."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""meter\"" id=\""albmissing\"" aria-labelledby=\""nonexistent\""></div>"", ""target"": ""div"", ""description"": ""Aria meter element has an aria-labelledby attribute pointing to a non-existent element, which does not provide a discernible name."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""meter\"" id=\""albempty\"" aria-labelledby=\""emptydiv\""></div><div id=\""emptydiv\""></div>"", ""target"": ""div"", ""description"": ""Aria meter element has an aria-labelledby attribute pointing to an empty div, which does not provide a discernible name."", ""impact"": ""serious"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
706_0,gemma-3-27b-it,zero-shot,4314,0,0,10,0.0,0.0,0.0,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,,"{""violations"": []}",no_wcag_codes_extracted,True,False,False,json_no_codes,
708_0,gemma-3-27b-it,zero-shot,4346,0,0,10,0.0,0.0,0.0,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,,"```json
{""violations"": []}
```",no_wcag_codes_extracted,True,False,False,json_no_codes,
